y	x
0.81 	-6.86 
0.91 	-4.32 
0.91 	-4.36 
0.90 	-4.36 
0.81 	-6.96 
0.84 	-6.66 
0.87 	-6.36 
0.88 	-6.12 
0.80 	-7.12 
0.82 	-6.82 
0.85 	-6.52 
0.88 	-6.20 
0.89 	-5.85 
0.89 	-6.11 
0.90 	-5.80 
0.89 	-5.48 
0.90 	-5.17 
0.90 	-4.85 
0.90 	-4.52 
0.91 	-4.14 
0.91 	-3.71 
0.92 	-3.50 
0.87 	-6.30 
0.89 	-5.95 
0.89 	-5.64 
0.89 	-5.03 
0.90 	-4.68 
0.90 	-4.33 
0.91 	-3.93 
0.77 	-8.57 
0.77 	-8.36 
0.77 	-8.11 
0.77 	-7.82 
0.78 	-7.52 
0.78 	-7.22 
0.80 	-6.92 
0.83 	-6.63 
0.86 	-6.32 
0.88 	-5.99 
0.77 	-8.78 
0.76 	-8.66 
0.77 	-8.47 
0.77 	-8.25 
0.77 	-7.97 
0.77 	-7.68 
0.78 	-7.35 
0.79 	-7.07 
0.81 	-6.77 
0.85 	-6.48 
0.87 	-6.16 
0.81 	-6.84 
0.85 	-6.53 
0.88 	-6.22 
0.89 	-5.91 
0.89 	-5.60 
0.89 	-5.29 
0.89 	-4.97 
0.90 	-4.64 
0.90 	-4.29 
0.91 	-3.89 
0.92 	-3.41 
0.92 	-3.13 
0.77 	-8.73 
0.77 	-8.67 
0.77 	-8.51 
0.77 	-8.17 
0.77 	-7.89 
0.78 	-7.59 
0.78 	-7.28 
0.80 	-7.00 
0.83 	-6.69 
0.86 	-6.39 
0.88 	-6.07 
0.83 	-6.68 
0.87 	-6.38 
0.88 	-6.07 
0.89 	-5.75 
0.90 	-5.13 
0.90 	-4.81 
0.91 	-4.10 
0.91 	-3.66 
0.92 	-3.26 
